Date,Open,High,Low,Close,Adj Close,Volume
2021-03-18,118.419998,120.250000,118.220001,118.830002,116.326126,4269700
2021-03-19,118.660004,118.680000,116.379997,116.620003,114.162697,9590600
2021-03-22,116.500000,117.769997,115.510002,116.839996,114.378052,4879100
2021-03-23,116.820000,117.080002,114.779999,115.029999,112.606194,6830800
2021-03-24,115.150002,117.099998,115.110001,115.959999,113.516602,4206200
2021-03-25,115.889999,116.879997,114.779999,116.580002,114.697220,3944400
2021-03-26,116.660004,118.809998,116.010002,118.559998,116.645241,5802900
2021-03-29,117.639999,119.660004,117.019997,119.160004,117.235550,4285400
2021-03-30,118.519997,119.330002,118.180000,118.830002,116.910881,4489600
2021-03-31,119.279999,119.440002,118.070000,118.129997,116.222191,5711800
2021-04-01,118.440002,118.779999,117.620003,118.190002,116.281219,6020900
2021-04-05,118.830002,120.309998,118.489998,120.250000,118.307953,4984400
2021-04-06,119.889999,121.809998,119.650002,121.150002,119.193413,5128200
2021-04-07,121.000000,122.050003,119.959999,120.629997,118.681816,4299600
2021-04-08,121.290001,121.559998,120.589996,120.650002,118.701492,3393800
2021-04-09,120.900002,122.000000,120.660004,122.000000,120.029686,3918700
2021-04-12,121.750000,122.260002,121.150002,121.790001,119.823082,4361400
2021-04-13,121.440002,123.910004,121.260002,123.629997,121.633362,6238700
2021-04-14,123.599998,124.860001,123.529999,123.900002,121.899010,5845000
2021-04-15,124.010002,126.139999,124.010002,125.849998,123.817513,5605300
2021-04-16,126.830002,126.830002,125.080002,125.910004,123.876549,4509800
2021-04-19,125.360001,126.290001,125.099998,126.129997,124.092979,4172200
2021-04-20,125.910004,128.419998,125.790001,128.279999,126.208267,5411000
2021-04-21,128.809998,131.380005,128.360001,130.250000,128.146454,6046000
2021-04-22,130.070007,130.910004,129.330002,129.850006,127.752914,3623300
2021-04-23,129.889999,131.789993,129.509995,131.199997,129.081116,3801200
2021-04-26,131.419998,131.490005,130.020004,130.119995,128.018555,2793900
2021-04-27,129.369995,130.389999,128.899994,129.970001,127.870972,3279100
2021-04-28,130.259995,131.619995,130.000000,131.199997,129.081116,3875100
2021-04-29,132.080002,132.300003,130.910004,131.500000,129.376266,4239100
2021-04-30,130.669998,131.210007,129.779999,130.919998,128.805618,4866200
2021-05-03,131.759995,131.910004,130.899994,131.199997,129.081116,3109800
2021-05-04,130.869995,130.990005,128.070007,128.500000,126.424706,6659000
2021-05-05,128.360001,128.449997,126.410004,127.000000,124.948936,7670900
2021-05-06,126.739998,127.500000,125.820000,127.300003,125.244095,4449500
2021-05-07,127.449997,128.440002,126.519997,126.699997,124.653778,3871100
2021-05-10,127.000000,128.039993,126.830002,126.900002,124.850555,3866400
2021-05-11,126.300003,126.739998,124.440002,125.220001,123.197685,3501400
2021-05-12,124.389999,124.900002,122.860001,123.120003,121.131607,4796300
2021-05-13,123.379997,124.989998,123.309998,124.190002,122.184319,3261800
2021-05-14,124.790001,125.639999,124.570000,125.269997,123.246872,3687600
2021-05-17,125.449997,126.129997,125.059998,125.529999,123.502670,3008000
2021-05-18,125.480003,127.139999,125.480003,125.849998,123.817513,4232700
2021-05-19,125.099998,125.889999,124.400002,125.669998,123.640419,4608900
2021-05-20,125.449997,127.279999,125.309998,126.699997,124.653778,3385000
2021-05-21,127.300003,128.570007,127.160004,127.290001,125.234253,3647600
2021-05-24,128.089996,128.669998,127.699997,128.100006,126.031181,3826900
2021-05-25,128.550003,129.149994,128.070007,128.399994,126.326324,3854900
2021-05-26,127.519997,128.240005,125.309998,126.269997,124.230721,6450200
2021-05-27,124.559998,127.610001,124.000000,125.150002,123.128822,9866400
2021-05-28,126.650002,128.039993,126.370003,126.589996,124.545555,5530000
2021-06-01,128.070007,128.119995,124.690002,124.790001,122.774628,5643900
2021-06-02,124.639999,124.989998,123.480003,123.800003,121.800621,6011200
2021-06-03,123.370003,123.629997,122.279999,123.070000,121.082405,4763000
2021-06-04,123.620003,124.389999,123.239998,123.849998,121.849808,4037300
2021-06-07,124.389999,125.139999,123.879997,123.959999,121.958038,5765700
2021-06-08,124.629997,124.750000,120.529999,121.800003,119.832924,6380300
2021-06-09,122.180000,123.230003,121.980003,123.110001,121.121765,3880100
2021-06-10,124.010002,124.930000,123.669998,124.739998,122.725441,3514200
2021-06-11,124.879997,124.900002,123.169998,123.779999,121.780937,6245200
2021-06-14,124.320000,124.320000,122.959999,124.150002,122.144958,3434900
2021-06-15,124.470001,125.360001,123.949997,125.169998,123.148491,4381800
2021-06-16,125.260002,125.540001,124.089996,125.019997,123.000908,4678100
2021-06-17,124.379997,125.389999,124.050003,125.209999,123.187843,3837400
2021-06-18,123.589996,124.360001,123.190002,123.230003,121.239822,5820600
2021-06-21,123.500000,125.820000,123.320000,125.540001,123.512520,4623500
2021-06-22,126.339996,127.120003,125.680000,126.730003,124.683304,3923800
2021-06-23,126.739998,126.919998,125.440002,125.489998,123.463318,3575100
2021-06-24,125.610001,125.800003,125.059998,125.089996,123.690742,3690100
2021-06-25,125.250000,125.660004,124.500000,124.930000,123.532539,4182600
2021-06-28,125.290001,125.419998,122.989998,123.739998,122.355850,4552600
2021-06-29,123.949997,124.680000,123.800003,124.540001,123.146904,3922500
2021-06-30,124.370003,124.889999,123.599998,124.129997,122.741486,3704000
2021-07-01,124.459999,126.190002,124.010002,126.129997,124.719109,3182400
2021-07-02,125.820000,126.860001,125.639999,126.830002,125.411293,3478900
2021-07-06,126.809998,127.059998,125.610001,126.970001,125.549728,3066300
2021-07-07,127.000000,127.820000,126.489998,127.739998,126.311104,3216100
2021-07-08,127.570000,127.650002,125.750000,127.440002,126.014465,3815300
2021-07-09,127.889999,128.610001,127.660004,128.169998,126.736298,3750600
2021-07-12,128.199997,128.740005,127.750000,128.199997,126.765961,3165000
2021-07-13,127.570000,128.050003,126.839996,127.400002,125.974915,3214700
2021-07-14,128.050003,128.070007,127.040001,127.739998,126.311104,3049700
2021-07-15,126.459999,126.889999,124.989998,125.360001,123.957726,5115400
2021-07-16,125.650002,126.160004,125.050003,125.800003,124.392807,3646400
2021-07-19,124.830002,125.139999,121.930000,122.750000,121.376930,4678700
2021-07-20,122.760002,126.120003,122.760002,125.510002,124.106056,5137300
2021-07-21,126.660004,127.180000,126.019997,127.050003,125.628830,3386000
2021-07-22,127.349998,127.730003,126.230003,127.110001,125.688148,2342200
2021-07-23,127.570000,128.789993,127.570000,128.539993,127.102150,2985400
2021-07-26,128.289993,128.690002,127.050003,128.070007,126.637421,2402200
2021-07-27,127.809998,130.940002,127.660004,130.220001,128.763367,4151700
2021-07-28,130.220001,131.139999,129.720001,130.520004,129.060013,4317200
2021-07-29,130.940002,131.240005,129.500000,130.679993,129.218216,3195600
2021-07-30,130.539993,131.710007,130.350006,131.309998,129.841171,2740000
2021-08-02,131.559998,132.389999,131.100006,131.259995,129.791733,3401100
2021-08-03,131.149994,131.539993,130.479996,131.460007,129.989502,3208500
2021-08-04,130.630005,130.970001,128.289993,128.380005,126.943954,4045100
2021-08-05,128.509995,128.639999,127.120003,128.020004,126.587975,3711900
2021-08-06,128.520004,128.789993,127.620003,128.639999,127.201042,2414500
2021-08-09,128.669998,129.330002,126.680000,126.919998,125.500275,3411500
2021-08-10,126.820000,127.239998,123.940002,125.300003,123.898407,4123800
2021-08-11,126.000000,126.410004,125.500000,126.040001,124.630127,3403700
2021-08-12,126.250000,127.889999,126.080002,127.519997,126.093567,2689300
2021-08-13,127.839996,128.369995,127.239998,128.339996,126.904396,2552500
2021-08-16,128.449997,129.660004,128.029999,129.589996,128.140396,3233800
2021-08-17,129.449997,130.779999,129.000000,130.759995,129.297318,3410300
2021-08-18,130.800003,131.169998,129.259995,129.330002,127.883316,4050300
2021-08-19,128.580002,129.410004,128.009995,128.929993,127.487785,4016600
2021-08-20,128.830002,130.029999,128.210007,129.899994,128.446945,4496500
2021-08-23,130.160004,130.199997,127.589996,128.479996,127.042824,5028300
2021-08-24,128.779999,134.729996,128.589996,132.570007,131.087082,10319200
2021-08-25,132.669998,135.199997,132.199997,134.550003,133.044937,6483800
2021-08-26,134.649994,134.649994,132.789993,133.369995,131.878113,4448100
2021-08-27,133.729996,134.059998,133.070007,133.809998,132.313202,3801400
2021-08-30,134.179993,134.580002,133.500000,133.839996,132.342865,3550300
2021-08-31,133.960007,134.789993,133.029999,133.479996,131.986893,4769900
2021-09-01,134.169998,134.270004,132.770004,134.169998,132.669189,2422400
2021-09-02,135.000000,135.669998,134.240005,134.729996,133.222916,4963700
2021-09-03,134.660004,135.130005,134.199997,134.630005,133.124039,2298400
2021-09-07,133.869995,134.660004,132.949997,134.570007,133.064728,3214000
2021-09-08,134.419998,135.679993,133.850006,135.169998,133.658005,2175400
2021-09-09,135.179993,135.889999,133.360001,133.429993,131.937439,3445300
2021-09-10,133.770004,133.970001,130.619995,131.139999,129.673065,4278700
2021-09-13,132.149994,132.190002,128.759995,130.039993,128.585373,4703200
2021-09-14,130.800003,131.210007,129.789993,130.580002,129.119339,3333600
2021-09-15,130.830002,132.580002,130.009995,131.649994,130.177368,3303800
2021-09-16,131.660004,132.339996,130.160004,130.919998,129.455536,3049500
2021-09-17,130.360001,130.830002,129.169998,129.699997,128.249176,6832800
2021-09-20,128.289993,129.289993,127.510002,128.729996,127.290024,3385100
2021-09-21,129.710007,130.050003,127.760002,127.839996,126.409988,2999300
2021-09-22,128.789993,129.699997,128.169998,128.910004,127.468033,3479800
2021-09-23,128.559998,131.139999,128.470001,130.639999,129.813080,3890600
2021-09-24,130.279999,131.309998,129.630005,130.020004,129.197006,2801300
2021-09-27,129.750000,130.070007,128.300003,128.750000,127.935043,2931400
2021-09-28,127.809998,127.940002,125.779999,126.000000,125.202446,6100400
2021-09-29,126.349998,127.160004,125.379997,126.580002,125.778778,2693800
2021-09-30,126.580002,127.980003,125.320000,125.349998,124.556564,5647000
2021-10-01,126.000000,127.940002,125.169998,127.309998,126.504150,4042600
2021-10-04,127.010002,128.559998,124.250000,125.050003,124.258461,5125900
2021-10-05,125.699997,127.589996,124.989998,125.800003,125.003716,3853200
2021-10-06,124.889999,126.150002,123.970001,126.089996,125.291878,4005500
2021-10-07,127.089996,128.850006,126.620003,126.830002,126.027199,3135600
2021-10-08,127.000000,127.260002,125.059998,125.269997,124.477066,4115500
2021-10-11,124.830002,125.519997,123.480003,123.540001,122.758018,3588300
2021-10-12,123.790001,124.000000,122.339996,122.930000,122.151878,4298100
2021-10-13,122.830002,123.230003,121.959999,122.570000,121.794159,4063500
2021-10-14,123.449997,125.129997,123.269997,124.800003,124.010048,4658000
2021-10-15,126.000000,128.320007,125.750000,127.750000,126.941368,7227100
2021-10-18,123.059998,123.260002,119.500000,120.720001,119.955872,10310600
2021-10-19,121.709999,122.769997,121.169998,122.199997,121.426498,5031200
2021-10-20,123.000000,123.250000,121.360001,121.790001,121.019096,5138800
2021-10-21,121.940002,122.029999,121.330002,121.650002,120.879982,3737300
2021-10-22,121.589996,123.570000,121.510002,123.089996,122.310867,3747000
